frame_idx,page_title,x,y,nx,ny,err_pct
0,Cocaine,0.50,0.50,0.0005,0.0009,99.88
1,Crack cocaine,0.50,0.50,0.0005,0.0009,99.88
2,Cocaine Bear,0.50,0.50,0.0005,0.0009,99.88
3,Cocaine (disambiguation),0.50,0.50,0.0005,0.0009,99.88
4,Cocaine paste,0.50,0.50,0.0005,0.0009,99.88
5,Pablo Escobar,0.50,0.50,0.0005,0.0009,99.88
6,Tusi (drug),0.50,0.50,0.0005,0.0009,99.88
7,Coca,0.50,0.50,0.0005,0.0009,99.88
8,Griselda Blanco,0.50,0.50,0.0005,0.0009,99.88
9,Cocaine Bear (bear),0.50,0.50,0.0005,0.0009,99.88
10,History of cocaine,0.50,0.50,0.0005,0.0009,99.88
11,Cocaine boom,0.50,0.50,0.0005,0.0009,99.88
12,Cocaine (drink),0.50,0.50,0.0005,0.0009,99.88
13,Cocaine 80s,0.50,0.50,0.0005,0.0009,99.88
14,Free base,0.50,0.50,0.0005,0.0009,99.88
15,List of cocaine analogues,0.50,0.50,0.0005,0.0009,99.88
16,Medellín Cartel,0.50,0.50,0.0005,0.0009,99.88
17,Cocaine dependence,0.50,0.50,0.0005,0.0009,99.88
18,Cocaine (data page),0.50,0.50,0.0005,0.0009,99.88
19,Black cocaine,0.50,0.50,0.0005,0.0009,99.88
20,Prenatal cocaine exposure,0.50,0.50,0.0005,0.0009,99.88
21,Cocaine Godmother,0.50,0.50,0.0005,0.0009,99.88
22,Cocaine (song),0.50,0.50,0.0005,0.0009,99.88
23,Cocaine Cowboys,0.50,0.50,0.0005,0.0009,99.88
24,Illegal drug trade in Venezuela,0.50,0.50,0.0005,0.0009,99.88
25,Ryan Wedding,0.50,0.50,0.0005,0.0009,99.88
26,Benzoylecgonine,0.50,0.50,0.0005,0.0009,99.88
27,Cocaine intoxication,0.50,0.50,0.0005,0.0009,99.88
28,CIA involvement in Contra cocaine trafficking,0.50,0.50,0.0005,0.0009,99.88
29,Cocaine Shark,0.50,0.50,0.0005,0.0009,99.88
30,Cocaine Blues,0.50,0.50,0.0005,0.0009,99.88
31,Cocaine and society,0.50,0.50,0.0005,0.0009,99.88
32,Black Mafia Family,0.50,0.50,0.0005,0.0009,99.88
33,Legal status of cocaine,0.81,0.50,0.0008,0.0009,99.84
34,Cocaine Cowboys (2006 film),0.50,0.50,0.0005,0.0009,99.88
35,Crack epidemic in the United States,0.50,0.50,0.0005,0.0009,99.88
36,Cocaine in the United States,0.50,0.50,0.0005,0.0009,99.88
37,Black Cocaine,0.50,0.45,0.0005,0.0008,99.89
38,Cocaine Anonymous,0.50,0.50,0.0005,0.0009,99.88
39,Cocaine & Rhinestones,0.50,0.50,0.0005,0.0009,99.88
40,George Jung,0.50,0.50,0.0005,0.0009,99.88
41,Biosynthesis of cocaine,0.50,0.50,0.0005,0.0009,99.88
42,Maritime cocaine smuggling,0.50,0.50,0.0005,0.0009,99.88
43,Gordon Ramsay on Cocaine,0.50,0.50,0.0005,0.0009,99.88
44,Cocaine esterase,0.50,0.50,0.0005,0.0009,99.88
45,Kate Moss,0.50,0.50,0.0005,0.0009,99.88
46,Dimethocaine,0.50,0.50,0.0005,0.0009,99.88
47,Cocaine Bear (soundtrack),0.50,0.50,0.0005,0.0009,99.88
48,Hippopotamuses in Colombia,0.50,0.50,0.0005,0.0009,99.88
